OBJECTID,Park Name,Property Management Area,SE_ANNO_CAD_DATA,PARKSBND_AREA,ORIG_FID,Spatial Data Quality Level,GLOBALID,GIS_CREATOR,GIS_CRT_DT,GIS_EDITOR,GIS_EDT_DT,x,y
69769,WOODLAND PARK ZOO,200,System.Byte[],3959004.924543,502,QL-D3,2eaf4584-16cb-484e-b671-c7a1f5184a06,SeattleParks_SeattleCityGIS,3/18/2024 10:32:42 AM,SeattleParks_SeattleCityGIS,3/18/2024 10:32:42 AM,1266531.12334989,247494.833875805
69770,YESLER TERRACE PARK,4263,System.Byte[],139153.988756,503,QL-D3,76895ea5-c54d-4c37-8db9-d3baa4fed4f2,SeattleParks_SeattleCityGIS,3/18/2024 10:32:42 AM,SeattleParks_SeattleCityGIS,3/18/2024 10:32:42 AM,1273475.17343815,222872.420522302
69771,YORK PARK,580,System.Byte[],11032.531717,504,QL-D3,27d8900c-61f8-49e7-aa2d-b6865e8a18e6,SeattleParks_SeattleCityGIS,3/18/2024 10:32:42 AM,SeattleParks_SeattleCityGIS,3/18/2024 10:32:42 AM,1279484.91633989,211516.087263882
69772,YORK PLAYGROUND,3926,System.Byte[],29898.650087,505,QL-D3,a07ee73a-4616-4f52-b645-92a8605da897,SeattleParks_SeattleCityGIS,3/18/2024 10:32:42 AM,SeattleParks_SeattleCityGIS,3/18/2024 10:32:42 AM,1280757.44561897,212305.698217466
69773,A. B. ERNST PARK,4404,System.Byte[],11546.519529,507,QL-D3,0305ca9d-2990-4e7d-ab5b-8b24cb54e5a3,SeattleParks_SeattleCityGIS,3/18/2024 10:32:42 AM,SeattleParks_SeattleCityGIS,3/18/2024 10:32:42 AM,1266887.26994731,240814.052289888
69774,HIGHLAND DRIVE PARKWAY,3983,System.Byte[],3331.306692,508,QL-D3,95d843e9-30f4-4101-9114-6e35851ece54,SeattleParks_SeattleCityGIS,3/18/2024 10:32:42 AM,SeattleParks_SeattleCityGIS,3/18/2024 10:32:42 AM,1265767.33189848,233431.119221136
69775,KINGFISHER NATURAL AREA ON THORNTON CREEK,4480,System.Byte[],653544.968893,509,QL-D3,edf59b42-e788-4233-a6e3-0e7cf9c58874,SeattleParks_SeattleCityGIS,3/18/2024 10:32:42 AM,SeattleParks_SeattleCityGIS,3/18/2024 10:32:42 AM,1277137.04045823,259763.376595885
69776,MOUNT BAKER BOULEVARD,4020,System.Byte[],319096.214725,510,QL-D3,11d4ef8f-a393-4b30-bd77-1d0217e4ba45,SeattleParks_SeattleCityGIS,3/18/2024 10:32:42 AM,SeattleParks_SeattleCityGIS,3/18/2024 10:32:42 AM,1280629.37271239,213612.390157878
69777,NORTH PASSAGE POINT PARK,2956,System.Byte[],34722.138691,511,QL-D3,28acc32e-0a7f-4cad-8f7e-75670dcacaf4,SeattleParks_SeattleCityGIS,3/18/2024 10:32:42 AM,SeattleParks_SeattleCityGIS,3/18/2024 10:32:42 AM,1273437.30048239,242096.103531554
69778,PEPPIS PLAYGROUND,378,System.Byte[],99679.586384,512,QL-D3,a1a982c2-04d3-4888-ad03-4a16e43613fe,SeattleParks_SeattleCityGIS,3/18/2024 10:32:42 AM,SeattleParks_SeattleCityGIS,3/18/2024 10:32:42 AM,1280926.23727614,223258.974867299
69779,SMITH COVE PARK,4433,System.Byte[],414345.971544,513,QL-D3,16b18ac5-61b2-4217-bd9f-27b7ea7e0a9d,SeattleParks_SeattleCityGIS,3/18/2024 10:32:42 AM,SeattleParks_SeattleCityGIS,3/18/2024 10:32:42 AM,1257203.95565256,234655.950760961
69780,THOMAS STREET GARDENS,4104,System.Byte[],5264.610665,514,QL-D3,8671e6a9-1cf0-4f6a-9652-067f23e153d8,SeattleParks_SeattleCityGIS,3/18/2024 10:32:42 AM,SeattleParks_SeattleCityGIS,3/18/2024 10:32:42 AM,1273974.31351598,230177.516804472
69781,WALLINGFORD STEPS,4598,System.Byte[],8416.537528,515,QL-D3,d7d772eb-a383-4bd2-9680-e004edede793,SeattleParks_SeattleCityGIS,3/18/2024 10:32:42 AM,SeattleParks_SeattleCityGIS,3/18/2024 10:32:42 AM,1269953.0709023,239668.888897806
69782,12TH AVE SQUARE PARK,4467,System.Byte[],7316.172948,1,QL-D3,0b2c3f23-d9ee-46f9-893f-1808e3c36255,SeattleParks_SeattleCityGIS,3/18/2024 10:32:42 AM,SeattleParks_SeattleCityGIS,3/18/2024 10:32:42 AM,1274586.43827598,225033.141594544
69783,14TH AVENUE NW BOAT RAMP,4010,System.Byte[],27888.351315,2,QL-D3,4f3ce826-b58b-4e00-bed7-813e14c07a05,SeattleParks_SeattleCityGIS,3/18/2024 10:32:42 AM,SeattleParks_SeattleCityGIS,3/18/2024 10:32:42 AM,1260882.57263914,244910.2937693
69784,17TH AVENUE NE CENTERSTRIP,4160,System.Byte[],71950.878767,3,QL-D3,fe9f2638-9369-4187-a02a-251253cdb78b,SeattleParks_SeattleCityGIS,3/18/2024 10:32:42 AM,SeattleParks_SeattleCityGIS,3/18/2024 10:32:42 AM,1276708.59774555,246967.827383891
69785,3001 E MADISON,296,System.Byte[],14679.930267,4,QL-D3,a99aae36-0e17-4c03-8473-b2f1b9d71e56,SeattleParks_SeattleCityGIS,3/18/2024 10:32:42 AM,SeattleParks_SeattleCityGIS,3/18/2024 10:32:42 AM,1280447.06992739,231456.645151719
69786,48TH AVE SW/SW CHARLESTOWN ST,4590,System.Byte[],14467.911693,5,QL-D3,67548b4c-8ae7-40fd-95e7-c967a2b2df14,SeattleParks_SeattleCityGIS,3/18/2024 10:32:42 AM,SeattleParks_SeattleCityGIS,3/18/2024 10:32:42 AM,1255225.91105223,211829.307437971
